Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00050,3.11,-13.57,-0.09,31,0,23001300.00,148875.00,4.40,3564975.00,15.05,15.10,--,--,15.10,15.10,24400,18.70,NIFTY,484.50,13.20,467.90,471.30,484.75,486.45,115050.00,-8.30,-10425.00,245325.00,0,0.91,-13.57,3.11,0.00050
0.00050,3.49,-14.54,-0.11,29,0,10991550.00,157350.00,11.80,1494675.00,17.30,17.40,--,--,17.40,17.40,24450,17.90,NIFTY,441.40,20.10,417.90,421.30,436.35,438.70,51825.00,-2.50,-1350.00,72450.00,0,0.89,-14.54,3.49,0.00050
0.00060,3.94,-15.78,-0.13,14,0,41025375.00,689325.00,10.20,7444650.00,20.50,20.55,--,--,20.60,20.60,24500,17.20,NIFTY,390.65,19.35,367.90,371.30,390.65,391.75,514425.00,-8.90,-50175.00,2128500.00,0,0.87,-15.78,3.94,0.00060
0.00070,4.44,-16.98,-0.15,14,0,14189625.00,211575.00,12.60,1889700.00,24.30,24.40,--,--,24.40,24.40,24550,16.40,NIFTY,344.55,23.25,317.90,321.30,344.55,345.35,134250.00,-3.60,-4950.00,280425.00,0,0.85,-16.98,4.44,0.00070
0.00090,5.01,-18.33,-0.18,7,0,35995950.00,1363425.00,24.50,6919125.00,29.35,29.45,--,--,29.45,29.45,24600,15.70,NIFTY,300.10,28.80,267.90,271.30,299.85,300.45,1015875.00,-3.50,-36600.00,2987025.00,0,0.82,-18.33,5.01,0.00090
0.00100,5.63,-19.83,-0.22,6,0,21380250.00,480825.00,18.50,3081750.00,36.25,36.35,--,--,36.35,36.35,24650,15.10,NIFTY,256.10,34.80,217.90,221.30,256.65,257.25,541050.00,1.60,8625.00,1254300.00,0,0.78,-19.83,5.63,0.00100
0.00120,6.27,-21.30,-0.27,5,0,44724825.00,1140375.00,16.40,8075250.00,45.55,45.65,--,--,45.50,45.50,24700,14.60,NIFTY,216.90,45.60,167.90,171.30,216.05,216.45,1794600.00,4.50,77025.00,9805125.00,0,0.73,-21.30,6.27,0.00120
0.00130,6.86,-22.57,-0.32,4,0,29013975.00,504750.00,19.80,3051075.00,57.20,57.35,--,--,57.40,57.40,24750,14.10,NIFTY,177.95,56.65,117.90,121.30,177.95,178.35,805125.00,23.10,150975.00,7650075.00,0,0.68,-22.57,6.86,0.00130
0.00150,7.32,-23.51,-0.39,2,0,77306025.00,1415625.00,20.20,8424675.00,72.80,72.95,--,--,72.95,72.95,24800,13.80,NIFTY,143.80,72.50,67.90,71.30,143.55,143.80,3654675.00,15.50,491400.00,41103900.00,0,0.61,-23.51,7.32,0.00150
0.00150,7.58,-23.85,-0.46,2,0,65814825.00,2846475.00,118.20,5254875.00,91.85,92.00,--,--,92.50,92.50,24850,13.50,NIFTY,113.35,92.05,17.90,21.30,113.10,113.35,3369525.00,202.80,2256750.00,50194950.00,0,0.54,-23.85,7.58,0.00150
0.00160,7.57,-23.34,-0.54,1,0,103971450.00,2394375.00,42.00,8098350.00,116.30,116.55,28.70,32.10,87.75,116.45,24900,13.30,NIFTY,87.20,87.20,--,--,87.20,87.35,9745800.00,149.70,5842275.00,116831175.00,0,0.46,-23.34,7.57,0.00160
0.00150,7.26,-22.26,-0.62,0,0,37471050.00,-124725.00,-5.60,2120850.00,145.00,145.25,78.70,82.10,66.20,144.90,24950,13.20,NIFTY,65.90,65.90,--,--,65.90,66.05,4434525.00,132.70,2528850.00,53593500.00,0,0.38,-22.26,7.26,0.00150
0.00140,6.70,-20.64,-0.69,0,0,41213325.00,69075.00,2.00,3581400.00,178.35,178.70,128.70,132.10,49.70,178.40,25000,13.20,NIFTY,49.35,49.35,--,--,49.40,49.45,11669100.00,115.50,6252975.00,94063275.00,0,0.31,-20.64,6.70,0.00140
0.00120,5.99,-18.69,-0.76,0,0,5303925.00,211350.00,44.50,686550.00,215.65,216.10,178.70,182.10,37.55,216.25,25050,13.40,NIFTY,36.85,36.85,--,--,36.85,36.95,3057825.00,106.30,1575675.00,33367425.00,0,0.24,-18.69,5.99,0.00120
0.00100,5.23,-16.65,-0.81,0,0,6829725.00,37050.00,3.20,1198800.00,256.35,256.90,228.70,232.10,27.80,256.50,25100,13.70,NIFTY,27.70,27.70,--,--,27.60,27.70,7400850.00,81.60,3326400.00,52413300.00,0,0.19,-16.65,5.23,0.00100
0.00090,4.47,-14.60,-0.85,0,0,1149900.00,-61500.00,-16.20,319125.00,299.35,300.00,278.70,282.10,22.00,300.70,25150,14.00,NIFTY,20.90,20.90,--,--,20.85,20.95,3427575.00,82.00,1544775.00,29950725.00,0,0.15,-14.60,4.47,0.00090
0.00070,3.81,-12.83,-0.88,0,0,2977200.00,-395100.00,-31.60,855600.00,344.15,344.95,328.70,332.10,16.50,345.20,25200,14.50,NIFTY,16.15,16.15,--,--,16.15,16.25,8422200.00,41.20,2458800.00,60395775.00,0,0.12,-12.83,3.81,0.00070
0.00060,3.21,-11.17,-0.91,0,0,337350.00,-39075.00,-24.60,120000.00,390.80,392.40,378.70,382.10,12.65,391.35,25250,14.90,NIFTY,12.55,12.55,--,--,12.55,12.60,2805525.00,64.20,1096725.00,26035200.00,0,0.09,-11.17,3.21,0.00060
0.00050,2.70,-9.67,-0.93,0,0,552750.00,-14925.00,-8.00,172575.00,438.05,439.65,428.70,432.10,11.30,440.00,25300,15.40,NIFTY,9.80,9.80,--,--,9.80,9.85,7320525.00,-2.00,-150525.00,45610800.00,0,0.07,-9.67,2.70,0.00050
0.00040,2.28,-8.46,-0.94,0,1,88350.00,-5175.00,-14.20,31350.00,485.55,487.65,478.70,482.10,1.30,480.00,25350,15.90,NIFTY,7.85,7.85,--,--,7.85,7.90,2794500.00,39.50,791475.00,25145025.00,0,0.06,-8.46,2.28,0.00040
0.00030,1.93,-7.40,-0.95,0,0,159300.00,-1350.00,-1.60,82875.00,533.50,536.80,528.70,532.10,7.30,536.00,25400,16.50,NIFTY,6.35,6.35,--,--,6.25,6.35,5204400.00,36.50,1391625.00,41163825.00,0,0.05,-7.40,1.93,0.00030
0.00030,1.65,-6.55,-0.96,0,1,32250.00,-75.00,-0.40,19425.00,581.70,586.80,578.70,582.10,-9.60,569.10,25450,17.10,NIFTY,5.25,5.25,--,--,5.20,5.25,2272875.00,37.40,619125.00,18423300.00,0,0.04,-6.55,1.65,0.00030
